A 	Ꭰ
E 	Ꭱ
I 	Ꭲ
O 	Ꭳ
U 	Ꭴ
V 	Ꭵ
GA 	Ꭶ
KA 	Ꭷ
GE 	Ꭸ
GI 	Ꭹ
GO 	Ꭺ
GU 	Ꭻ
GV 	Ꭼ
HA 	Ꭽ
HE 	Ꭾ
HI 	Ꭿ
HO 	Ꮀ
HU 	Ꮁ
HV 	Ꮂ
LA 	Ꮃ
LE 	Ꮄ
LI 	Ꮅ
LO 	Ꮆ
LU 	Ꮇ
LV 	Ꮈ
MA 	Ꮉ
ME 	Ꮊ
MI 	Ꮋ
MO 	Ꮌ
MU 	Ꮍ
NA 	Ꮎ
HNA 	Ꮏ
NAH 	Ꮐ
NE 	Ꮑ
NI 	Ꮒ
NO 	Ꮓ
NU 	Ꮔ
NV 	Ꮕ
QUA 	Ꮖ
QUE 	Ꮗ
QUI 	Ꮘ
QUO 	Ꮙ
QUU 	Ꮚ
QUV 	Ꮛ
SA 	Ꮜ
S 	Ꮝ
SE 	Ꮞ
SI 	Ꮟ
SO 	Ꮠ
SU 	Ꮡ
SV 	Ꮢ
DA 	Ꮣ
TA 	Ꮤ
DE 	Ꮥ
TE 	Ꮦ
DI 	Ꮧ
TI 	Ꮨ
DO 	Ꮩ
DU 	Ꮪ
DV 	Ꮫ
DLA 	Ꮬ
TLA 	Ꮭ
TLE 	Ꮮ
TLI 	Ꮯ
TLO 	Ꮰ
TLU 	Ꮱ
TLV 	Ꮲ
TSA 	Ꮳ
TSE 	Ꮴ
TSI 	Ꮵ
TSO 	Ꮶ
TSU 	Ꮷ
TSV 	Ꮸ
WA 	Ꮹ
WE 	Ꮺ
WI 	Ꮻ
WO 	Ꮼ
WU 	Ꮽ
WV 	Ꮾ
YA 	Ꮿ
YE 	Ᏸ
YI 	Ᏹ
YO 	Ᏺ
YU 	Ᏻ
YV 	Ᏼ
