; ッ
pp ;p
bb ;b
tt ;t
dd ;d
ff ;f
ss ;s
kk ;k
tsu ツ
shu シュ
sho ショ
shi シ
sha シャ
ryu リュ
ryo リョ
rya リャ
pyu ピュ
pyo ピョ
pya ピャ
nyu ニュ
nyo ニョ
nya ニャ
myu ミュ
myo ミョ
mya ミャ
kyu キュ
kyo キョ
kya キャ
hyu ヒュ
hyo ヒョ
hya ヒャ
gyu ギュ
gyo ギョ
gya ギャ
chu チュ
cho チョ
chi チ
cha チャ
byu ビュ
byo ビョ
bya ビャ
zu ズ
zu ヅ
zo ゾ
ze ゼ
za ザ
yu ユ
yo ヨ
ya ヤ
wo ヲ
wi ヰ
we ヱ
wa ワ
to ト
te テ
ta タ
su ス
so ソ
se セ
sa サ
ru ル
ro ロ
ri リ
re レ
ra ラ
pu プ
po ポ
pi ピ
pe ペ
pa パ
nu ヌ
no ノ
ni ニ
ne ネ
na ナ
mu ム
mo モ
mi ミ
me メ
ma マ
ku ク
ko コ
ki キ
ke ケ
ka カ
ju ジュ
ju ヂュ
jo ジョ
jo ヂョ
ji ジ
ji ヂ
ja ジャ
ja ヂャ
ho ホ
hi ヒ
he ヘ
ha ハ
gu グ
go ゴ
gi ギ
ge ゲ
ga ガ
fu フ
do ド
de デ
da ダ
bu ブ
bo ボ
bi ビ
be ベ
ba バ
fa ファ
fi フィ
fe フェ
fo フォ
fyu フュ
u ウ
o オ
n ン
i イ
e エ
a ア
- ー
\* ・
\, 、

